berth,cargoVolume,Arrival,localVoyage,Departure,vesselName,Status
5,557,"Wed, 04 Oct 2023 19:33:43 GMT",196S,"Thu, 05 Oct 2023 23:34:30 GMT",WAN FU DA,Delayed
6,407,"Wed, 04 Oct 2023 21:21:30 GMT",016E,"Thu, 05 Oct 2023 17:21:55 GMT",AKA BHUM,Delayed
2,524,"Wed, 04 Oct 2023 21:31:44 GMT",,"Fri, 06 Oct 2023 00:32:48 GMT",MAERSK KWANGYANG,Delayed
10,84,"Wed, 04 Oct 2023 22:09:06 GMT",102E,"Thu, 05 Oct 2023 02:09:08 GMT",MCP LINZ,Delayed
8,152,"Wed, 04 Oct 2023 22:57:01 GMT",,"Thu, 05 Oct 2023 06:57:23 GMT",TBN FEEDER 12,Delayed
1,478,"Thu, 05 Oct 2023 00:01:13 GMT",,"Fri, 06 Oct 2023 01:02:23 GMT",SINAR BUKITTINGI,Delayed
10,19,"Thu, 05 Oct 2023 02:09:08 GMT",OS017,"Thu, 05 Oct 2023 03:09:24 GMT",MARCOPOLO 906,Delayed
10,508,"Thu, 05 Oct 2023 03:09:24 GMT",150N,"Fri, 06 Oct 2023 07:11:19 GMT",SINAR SUNDA,Delayed
9,482,"Thu, 05 Oct 2023 03:52:48 GMT",TS042,"Fri, 06 Oct 2023 04:53:53 GMT",MARCOPOLO 182,Delayed
3,573,"Thu, 05 Oct 2023 06:55:15 GMT",45834E,"Fri, 06 Oct 2023 10:55:40 GMT",NAJADE,Delayed
8,20,"Thu, 05 Oct 2023 06:57:23 GMT",215W,"Thu, 05 Oct 2023 07:57:27 GMT",MTT MUARA,Delayed
8,283,"Thu, 05 Oct 2023 07:57:27 GMT",PS371,"Thu, 05 Oct 2023 21:57:51 GMT",MARCO POLO 128,Delayed
4,543,"Thu, 05 Oct 2023 13:15:01 GMT",022N,"Fri, 06 Oct 2023 14:14:30 GMT",SINAR SIANTAR,Delayed
6,19,"Thu, 05 Oct 2023 17:21:55 GMT",,"Thu, 05 Oct 2023 18:22:11 GMT",APL TBN 18,Delayed
6,271,"Thu, 05 Oct 2023 18:22:11 GMT",301NE,"Fri, 06 Oct 2023 07:31:50 GMT",ATI BHUM,Delayed
7,218,"Thu, 05 Oct 2023 18:59:38 GMT",204W,"Fri, 06 Oct 2023 04:59:37 GMT",ISEACO GENESIS,Delayed
8,199,"Thu, 05 Oct 2023 21:57:51 GMT",339N,"Fri, 06 Oct 2023 06:58:48 GMT",MAERSK NASSJO,Delayed
5,391,"Thu, 05 Oct 2023 23:34:30 GMT",0106W,"Fri, 06 Oct 2023 19:35:17 GMT",KOTA LUMBA,Delayed
2,18,"Fri, 06 Oct 2023 00:32:48 GMT",0056S,"Fri, 06 Oct 2023 01:33:05 GMT",HR HERA,Delayed
1,644,"Fri, 06 Oct 2023 01:02:23 GMT",3723S,"Sat, 07 Oct 2023 11:04:02 GMT",SCION MAFALDA,Delayed
2,19,"Fri, 06 Oct 2023 01:33:05 GMT",412N,"Fri, 06 Oct 2023 02:33:21 GMT",SOUL OF LUCK,Delayed
2,79,"Fri, 06 Oct 2023 02:33:21 GMT",39 JN,"Fri, 06 Oct 2023 06:33:40 GMT",LL 2508,Delayed
9,603,"Fri, 06 Oct 2023 04:53:53 GMT",OS078,"Sat, 07 Oct 2023 07:13:21 GMT",MARCO POLO 220,Delayed
7,535,"Fri, 06 Oct 2023 04:59:37 GMT",0191S,"Sat, 07 Oct 2023 05:57:38 GMT",SINAR SORONG,Delayed
2,417,"Fri, 06 Oct 2023 06:33:40 GMT",524S,"Sat, 07 Oct 2023 02:33:40 GMT",DANU BHUM,Delayed
8,20,"Fri, 06 Oct 2023 06:58:48 GMT",,"Fri, 06 Oct 2023 07:59:03 GMT",LL 2506,Delayed
10,116,"Fri, 06 Oct 2023 07:11:19 GMT",,"Fri, 06 Oct 2023 13:11:44 GMT",SUNRISE DRAGON,Delayed
6,19,"Fri, 06 Oct 2023 07:31:50 GMT",2308S,"Fri, 06 Oct 2023 08:32:06 GMT",SOL STRIDE,Delayed
8,302,"Fri, 06 Oct 2023 07:59:03 GMT",PS040,"Fri, 06 Oct 2023 21:58:50 GMT",MARCOPOLO 258,Delayed
6,347,"Fri, 06 Oct 2023 08:32:06 GMT",033E,"Sat, 07 Oct 2023 02:32:56 GMT",WIDE JULIET,Delayed
3,519,"Fri, 06 Oct 2023 10:55:40 GMT",125W,"Sat, 07 Oct 2023 10:55:25 GMT",SEAMAX STRATFORD,Delayed
10,463,"Fri, 06 Oct 2023 13:11:44 GMT",0XL3RS1NC,"Sat, 07 Oct 2023 12:12:17 GMT",CMA CGM WHITE SHARK,Delayed
4,447,"Fri, 06 Oct 2023 14:14:30 GMT",0219S,"Sat, 07 Oct 2023 14:15:54 GMT",KOTA RAKYAT,Delayed
5,160,"Fri, 06 Oct 2023 19:35:17 GMT",068W,"Sat, 07 Oct 2023 03:35:28 GMT",SAFEEN PIONEER,Delayed
8,46,"Fri, 06 Oct 2023 21:58:50 GMT",RB174,"Fri, 06 Oct 2023 23:58:47 GMT",HARBOUR RUBY,Delayed
8,20,"Fri, 06 Oct 2023 23:58:47 GMT",59224A,"Sat, 07 Oct 2023 00:59:02 GMT",DANUM 159,Delayed
8,520,"Sat, 07 Oct 2023 00:59:02 GMT",,"Sun, 08 Oct 2023 01:59:14 GMT",NAP 310,Delayed
6,1016,"Sat, 07 Oct 2023 02:32:56 GMT",040S,"Sun, 08 Oct 2023 23:35:18 GMT",RITA,Delayed
2,452,"Sat, 07 Oct 2023 02:33:40 GMT",0BYF6N1NC,"Sat, 07 Oct 2023 21:59:56 GMT",CMA CGM VALENCIA,Delayed
5,573,"Sat, 07 Oct 2023 03:35:28 GMT",286S,"Sun, 08 Oct 2023 09:36:50 GMT",CTP FORTUNE,Delayed
7,415,"Sat, 07 Oct 2023 05:57:38 GMT",086W,"Sun, 08 Oct 2023 01:57:52 GMT",INDO SUKSES 51,Delayed
9,421,"Sat, 07 Oct 2023 07:13:21 GMT",005W,"Sun, 08 Oct 2023 03:13:26 GMT",CAP ANDREAS,Delayed
3,946,"Sat, 07 Oct 2023 10:55:25 GMT",3623S,"Mon, 09 Oct 2023 10:56:48 GMT",MCP SALZBURG,Delayed
1,587,"Sat, 07 Oct 2023 11:04:02 GMT",2304S,"Sun, 08 Oct 2023 12:26:54 GMT",JEJU ISLAND,Delayed
10,469,"Sat, 07 Oct 2023 12:12:17 GMT",081E,"Sun, 08 Oct 2023 12:13:11 GMT",FSL SINGAPORE,Delayed
4,496,"Sat, 07 Oct 2023 14:15:54 GMT",0397S,"Sun, 08 Oct 2023 15:16:29 GMT",KOTA JOHAN,Delayed
2,112,"Sat, 07 Oct 2023 21:59:56 GMT",HE162,"Sun, 08 Oct 2023 04:00:27 GMT",HARBOUR EXPRESS,Delayed
7,510,"Sun, 08 Oct 2023 01:57:52 GMT",,"Mon, 09 Oct 2023 02:58:18 GMT",NAP 910,Delayed
8,72,"Sun, 08 Oct 2023 01:59:14 GMT",2318S,"Sun, 08 Oct 2023 06:15:31 GMT",SOL MALAYSIA,Delayed
9,472,"Sun, 08 Oct 2023 03:13:26 GMT",115N,"Mon, 09 Oct 2023 03:14:16 GMT",BRIGHT LAEM CHABANG,Delayed
2,57,"Sun, 08 Oct 2023 04:00:27 GMT",027S,"Sun, 08 Oct 2023 07:00:48 GMT",SKY WIND,Delayed
8,21,"Sun, 08 Oct 2023 06:15:31 GMT",,"Sun, 08 Oct 2023 07:15:44 GMT",MARCOPOLO 256,Delayed
2,549,"Sun, 08 Oct 2023 07:00:48 GMT",,"Mon, 09 Oct 2023 08:56:45 GMT",NAP 904,Delayed
8,374,"Sun, 08 Oct 2023 07:15:44 GMT",338W,"Mon, 09 Oct 2023 02:46:40 GMT",MAERSK CAPE TOWN,Delayed
5,362,"Sun, 08 Oct 2023 09:36:50 GMT",0BDG3W1MA,"Mon, 09 Oct 2023 03:37:20 GMT",CMA CGM MISSOURI,Delayed
10,430,"Sun, 08 Oct 2023 12:13:11 GMT",0080W,"Mon, 09 Oct 2023 10:14:01 GMT",KOTA NANHAI,Delayed
1,337,"Sun, 08 Oct 2023 12:26:54 GMT",0112E,"Mon, 09 Oct 2023 07:28:27 GMT",KOTA RUKUN,Delayed
4,102,"Sun, 08 Oct 2023 15:16:29 GMT",403S,"Sun, 08 Oct 2023 20:16:45 GMT",METHI BHUM,Delayed
4,40,"Sun, 08 Oct 2023 20:16:45 GMT",0551E,"Sun, 08 Oct 2023 22:16:50 GMT",KOTA RIA,Delayed
4,21,"Sun, 08 Oct 2023 22:16:50 GMT",23104S,"Sun, 08 Oct 2023 23:17:03 GMT",X-PRESS HOOGLY,Delayed
4,275,"Sun, 08 Oct 2023 23:17:03 GMT",,"Mon, 09 Oct 2023 13:17:38 GMT",MARCO POLO 252,Delayed
6,372,"Sun, 08 Oct 2023 23:35:18 GMT",154N,"Mon, 09 Oct 2023 17:35:23 GMT",SINAR PENIDA,Delayed
8,744,"Mon, 09 Oct 2023 02:46:40 GMT",225,"Tue, 10 Oct 2023 13:46:29 GMT",ANTWERP BRIDGE,Delayed
7,453,"Mon, 09 Oct 2023 02:58:18 GMT",189E,"Tue, 10 Oct 2023 00:04:16 GMT",EVER URSULA,Delayed
5,441,"Mon, 09 Oct 2023 06:00:00 GMT",339N,"Tue, 10 Oct 2023 04:00:35 GMT",ROSA,On Time
9,21,"Mon, 09 Oct 2023 06:00:00 GMT",0010S,"Mon, 09 Oct 2023 07:00:03 GMT",PADIAN 4,On Time
